match_id,season,date,city,venue,teams,team_1,team_2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result,method
593,2013,2013-04-25,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Sunrisers Hyderabad']",CSK,SRH,SRH,bat,CSK,,5.0,['MS Dhoni'],0,0
594,2013,2013-04-26,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Kings XI Punjab']",KKR,KXIP,KXIP,bat,KKR,,6.0,['JH Kallis'],0,0
595,2013,2013-04-27,Jaipur,Sawai Mansingh Stadium,"['Rajasthan Royals', 'Sunrisers Hyderabad']",RR,SRH,SRH,bat,RR,,8.0,['JP Faulkner'],0,0
596,2013,2013-04-27,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Royal Challengers Bangalore']",MI,RCB,MI,bat,MI,58.0,,['DR Smith'],0,0
597,2013,2013-04-28,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Kolkata Knight Riders']",CSK,KKR,KKR,field,CSK,14.0,,['MEK Hussey'],0,0
598,2013,2013-04-28,Raipur,Shaheed Veer Narayan Singh International Stadium,"['Delhi Daredevils', 'Pune Warriors']",DC,PW,PW,field,DC,15.0,,['DA Warner'],0,0
599,2013,2013-04-29,Jaipur,Sawai Mansingh Stadium,"['Rajasthan Royals', 'Royal Challengers Bangalore']",RR,RCB,RR,field,RR,,4.0,['SV Samson'],0,0
600,2013,2013-04-29,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Kings XI Punjab']",MI,KXIP,MI,bat,MI,4.0,,['RG Sharma'],0,0
601,2013,2013-04-30,Pune,Subrata Roy Sahara Stadium,"['Pune Warriors', 'Chennai Super Kings']",PW,CSK,CSK,bat,CSK,37.0,,['MS Dhoni'],0,0
602,2013,2013-05-01,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Mumbai Indians']",SRH,MI,MI,bat,SRH,,7.0,['I Sharma'],0,0
603,2013,2013-05-01,Raipur,Shaheed Veer Narayan Singh International Stadium,"['Delhi Daredevils', 'Kolkata Knight Riders']",DC,KKR,KKR,bat,DC,,7.0,['DA Warner'],0,0
604,2013,2013-05-02,Chennai,"MA Chidambaram Stadium, Chepauk","['Chennai Super Kings', 'Kings XI Punjab']",CSK,KXIP,CSK,bat,CSK,15.0,,['SK Raina'],0,0
605,2013,2013-05-02,Pune,Subrata Roy Sahara Stadium,"['Pune Warriors', 'Royal Challengers Bangalore']",PW,RCB,RCB,bat,RCB,17.0,,['AB de Villiers'],0,0
606,2013,2013-05-03,Kolkata,Eden Gardens,"['Kolkata Knight Riders', 'Rajasthan Royals']",KKR,RR,RR,bat,KKR,,8.0,['YK Pathan'],0,0
607,2013,2013-05-04,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Delhi Daredevils']",SRH,DC,DC,bat,SRH,,6.0,['DJG Sammy'],0,0
610,2013,2013-05-05,Jaipur,Sawai Mansingh Stadium,"['Rajasthan Royals', 'Pune Warriors']",RR,PW,PW,bat,RR,,5.0,['AM Rahane'],0,0
609,2013,2013-05-05,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Chennai Super Kings']",MI,CSK,MI,bat,MI,60.0,,['MG Johnson'],0,0
627,2013,2013-05-06,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Royal Challengers Bangalore']",KXIP,RCB,KXIP,field,KXIP,,6.0,['DA Miller'],0,0
612,2013,2013-05-07,Jaipur,Sawai Mansingh Stadium,"['Rajasthan Royals', 'Delhi Daredevils']",RR,DC,DC,bat,RR,,9.0,['AM Rahane'],0,0
613,2013,2013-05-07,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Kolkata Knight Riders']",MI,KKR,MI,bat,MI,65.0,,['SR Tendulkar'],0,0
614,2013,2013-05-08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","['Sunrisers Hyderabad', 'Chennai Super Kings']",SRH,CSK,SRH,field,CSK,77.0,,['SK Raina'],0,0
616,2013,2013-05-09,Pune,Subrata Roy Sahara Stadium,"['Pune Warriors', 'Kolkata Knight Riders']",PW,KKR,KKR,bat,KKR,46.0,,['G Gambhir'],0,0
615,2013,2013-05-09,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Rajasthan Royals']",KXIP,RR,RR,field,RR,,8.0,['KK Cooper'],0,0
617,2013,2013-05-10,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Royal Challengers Bangalore']",DC,RCB,DC,field,RCB,4.0,,['JD Unadkat'],0,0
618,2013,2013-05-11,Pune,Subrata Roy Sahara Stadium,"['Pune Warriors', 'Mumbai Indians']",PW,MI,PW,bat,MI,,5.0,['MG Johnson'],0,0
619,2013,2013-05-11,Chandigarh,"Punjab Cricket Association Stadium, Mohali","['Kings XI Punjab', 'Sunrisers Hyderabad']",KXIP,SRH,KXIP,field,SRH,30.0,,['PA Patel'],0,0
620,2013,2013-05-12,Ranchi,JSCA International Stadium Complex,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']",KKR,RCB,KKR,field,KKR,,5.0,['JH Kallis'],0,0
621,2013,2013-05-12,Jaipur,Sawai Mansingh Stadium,"['Rajasthan Royals', 'Chennai Super Kings']",RR,CSK,RR,field,RR,,5.0,['SR Watson'],0,0
623,2013,2013-05-13,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Sunrisers Hyderabad']",MI,SRH,SRH,bat,MI,,7.0,['KA Pollard'],0,0
